All,Visi
"%1 cache type(s) refreshed.","%1 keša veids(i) ir atjaunots."
"An error occurred while refreshing cache.","Kļūda atjaunojot kešu."
Dashboard,Infopanelis
"We updated lifetime statistic.","Tika atjaunota visa darbības laika statistika."
"We can't refresh lifetime statistics.","Nevar atjaunot dzīves ilguma statistiku."
"invalid request","kļūdains pieprasījums"
"see error log for details","papildus informācijai skatīties kļūdu log failu"
"Service unavailable: %1","Serviss nav pieejams: %1"
"Access Denied.","Pieeja liegta."
"You need more permissions to do this.","Jums nepieciešamas vairāk atļaujas to darīt."
"No search modules were registered","Nav reģistrēti meklēšanas moduļi"
"Please make sure that all global admin search modules are installed and activated.","Pārliecinieties, ka visi globālie administrācijas meklēšanas moduļi ir instalēti un aktivizēti."
"You saved the account.","Konts ir saglabāts."
"An error occurred while saving account.","Kļūda saglabājot kontu."
"You deleted the design change.","Dizaina maiņa ir dzēsta."
"You can't delete the design change.","Jūs nevarat nodzēst dizaina maiņu."
"Store Design","Veikala dizains"
"Edit Store Design Change","Labot veikala dizaina maiņu"
"You saved the design change.","Dizaina maiņa ir saglabāta."
System,Sistēma
"Manage Stores","Pārvaldīt veikalus"
"The database was backed up.","Datu bāzei ir izveidota rezerves kopija."
"We can't create a backup right now. Please try again later.","Nevar izveidot rezerves kopiju. Mēģiniet vēlāk."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Dzēšot %1 netiks dzēsta informācija kas saistīta ar %1 (piem. kategorijas, produkti u.c.), bet %1 nevarēs atjaunot. Ieteicams izveidot datu bāzes rezerves kopiju pirms %1 nodzēšanas."
"Something went wrong. Please try again.","Kļūda. Mēģiniet vēlreiz."
"This store cannot be deleted.","Šo veikalu nevar nodzēst."
"You deleted the store.","Veikals ir nodzēsts."
"Unable to delete the store. Please try again later.","Nevar nodzēst veikalu. Mēģiniet vēlāk."
"This store view cannot be deleted.","Šo veikala skatu nevar nodzēst."
"Store View","Veikala skats"
"You deleted the store view.","Veikala skats ir nodzēsts."
"Unable to delete the store view. Please try again later.","Nevar nodzēst veikala skatu. Mēģiniet vēlāk."
"This website cannot be deleted.","Šo lapu nevar nodzēst."
"You deleted the website.","Lapa ir nodzēsta."
"Unable to delete the website. Please try again later.","Nevar nodzēst lapu. Mēģiniet vēlāk."
"The website does not exist.","Lapa neeksistē."
"Before modifying the website code please make sure it is not used in index.php.","Pirms lapas koda rediģēšanas pārliecinieties ka tas nav lietots index.php."
"The store does not exist","Veikals neeksistē"
"Store view doesn't exist","Veikala skats neeksistē"
"Before modifying the store view code please make sure it is not used in index.php.","Pirms veikala skata koda rediģēšanas pārliecinieties ka tas nav lietots index.php."
"New ","Jauns "
"All Stores","Visi veikali"
"You saved the website.","Lapa ir saglabāta."
"The default store cannot be disabled","Noklusēto veikalu nevar izslēgt"
"You saved the store view.","Veikala skats ir saglabāts."
"An inactive store view cannot be saved as default store view","Neaktīva veikala skatu nevar saglabāt kā noklusēto"
"You saved the store.","Veikals ir saglabāts."
"Something went wrong while saving. Please review the error log.","Kļūda saglabājot. Pārbaudiet kļūdu log failu."
"Authentication storage is incorrect.","Nepareiza autentifikācijas glabātuve."
"Last 24 Hours","Pēdējās 24 stundas"
"Last 7 Days","Pēdējās 7 dienas"
"Current Month","Tekošais mēnesis"
Order,Pasūtījums
"Order #%1","Pasūtījums #%1"
"Sorry, you need permissions to view this content.","Atvainojiet, Jums nepieciešamas papildu atļaujas lai skatītu šo saturu."
"Next steps","Nākamie soļi"
"If you think this is an error, try signing out and signing in again.","Ja jūs domājat, ka šī ir kļūda, mēģiniet atslēgties un pieslēgties sistēmai vēlreiz."
"Contact a system administrator or store owner to gain permissions.","Sazinieties ar administratoru vai veikala īpašnieku lai saņemtu papildu piekļuves tiesības."
"previous page","iepriekšējā lapa"
"Welcome, please sign in","Laipni lūgti, lūdzu pieslēdzaties"
Username,Lietotājvārds
"user name","lietotāja vārds"
Password,Parole
password,parole
"Sign in",Pieslēgties
"No Data Found","Nav datu"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Grafiks ir izslēgts. Lai ieslēgtu grafiku, nospiediet <a href=""%1""> šeit</a>."
"Select Range:","Atlasīt diapazonu:"
"Last Orders","Pēdējie pasūtījumi"
"Last Search Terms","Pēdējie meklēšanas termini"
"Top Search Terms","Populārākie meklēšanas termini"
"There are no search keywords.","Nav meklēšanas atslēgas vārdu."
"View Statistics For:","Skatīt statistiku:"
"All Websites","Visas lapas"
"Reload Data","Pārlādēt datus"
"Browse Files...","Pārlūkot failus..."
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.","Autortiesības&copy; %1 Magento Commerce Inc. Visas tiesības paturētas."
"Magento Admin Panel","Magento Administrācijas panelis"
"Account Setting","Konta iestatījumi"
"Customer View","Klienta skats"
"Sign Out",Izrakstīties
"About the calendar","Par kalendāru"
"Go Today",Šodien
Previous,Iepriekšējais
Next,Nākošais
Time,Laiks
Hour,Stunda
Minute,Minūte
"JavaScript may be disabled in your browser.","Jūsu pārlūka iespējams ir izslēgts JavaScript atbalsts."
"To use this website you must first enable JavaScript in your browser.","Lai lietotu šo lapu Jums ir jāieslēdz JavaScript atbalsts pārlūkā."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Šis ir demo veikals. Jūs varat pārlūkot, veidot pasūtījumus, bet tie netiks apstrādāti."
"Report an Issue","Ziņot par problēmu"
"Stores Configuration","Veikalu konfigurācija"
"Additional Cache Management","Papildus keša menedžments"
"Flush Catalog Images Cache","Iztīrīt kataloga attēlu kešu"
"Pregenerated product images files","Iepriekš ģenerēti produktu attēlu faili"
"Flush JavaScript/CSS Cache","Iztīrīt JavaScript/CSS kešu"
"Themes JavaScript and CSS files combined to one file","Tēmas JavaScript un CSS kombinēti vienā failā"
"Flush Static Files Cache","Iztīrīt statisko failu kešu"
"Preprocessed view files and static files","Pirmsapstrādāti skata un statiskie faili"
Catalog,Katalogs
"JavaScript/CSS Cache","JavaScript/CSS kešs"
"No records found.","Nav atrasts neviens ieraksts."
Images,Attēli
"Big Image","Liels attēls"
Thumbnail,Sīktēls
"Additional Settings","Papildu iestatījumi"
"records found","atrasti ieraksti"
selected,atlasīti
"per page",lapā
"Previous page","Iepriekšējā lapa"
"of %1","no %1"
"Next page","Nākošā lapa"
"Export to:",Eksportēt:
"Mass Actions","Masu darbības"
"Unselect All","Noņemt visus atlasītos"
"Select Visible","Izvēlēties redzamos"
"Unselect Visible","Noņemt redzamos"
"Changes have been made to this section that have not been saved.","Šai sadaļai ir veiktas izmaiņas, taču tā nav saglabāta."
"This tab contains invalid data. Please resolve this before saving.","Tabs satur nepareizu informāciju. Atrisiniet pirms saglabāšanas."
"The information in this tab has been changed.","Informācija šajā cilnē tika mainīta."
Loading...,"Notiek ielāde..."
"User Agent Rules","Lietot pārlūka aģenta noteikumus"
"We could not detect a size.","Nevar noteikt lielumu."
"Please confirm scope switching. All data that hasn't been saved will be lost.","Apstipriniet loka pārslēgšanu. Nesaglabātā informācija tiks zaudēta."
"Allow everything","Atļaut visu"
"Global Search","Globālā meklēšana"
Marketing,Mārketings
"SEO & Search","SEO un meklēšana"
"User Content","Lietotāja saturs"
Content,Saturs
Elements,Elementi
Design,Dizains
Schedule,Grafiks
Settings,Iestatījumi
Attributes,Atribūti
"Other Settings","Citi iestatījumi"
"Data Transfer","Datu pārvietošana"
"Connect Manager","Savienojumu pārvaldnieks"
"Package Extensions","Pakotņu paplašinājumi"
Tools,Rīki
Currency,Valūta
Communications,Komunikācijas
Services,Pakalpojumi
Advanced,Paplašināts
"Disable Modules Output","Izslēgt moduļu attēlošanu"
"Store Email Addresses","Veikala e-pasta adreses"
"Custom Email 1","Papildus e-pasts 1"
"Sender Email","Sūtītāja e-pasta adrese"
"Sender Name","Sūtītāja vārds"
"Custom Email 2","Papildus e-pasts 2"
"General Contact","Galvenā kontaktinformācija"
"Sales Representative","Pārdošanas pārstāvis"
"Customer Support","Klientu atbalsts"
Developer,Izstrādātājs
"Template Settings","Šablona iestatījumi"
"Allow Symlinks","Atļaut simboliskās saites"
"Minify Html","Minificēt Html"
"Minification is not applied in developer mode.","Minifikācija nav pielietojama izstrādāšanas režīmā."
"Translate Inline","Tulkot lapā"
"Enabled for Storefront","Ieslēgt veikala priekšpusē"
"Enabled for Admin","Ieslēgt veikala administrācijā"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Tulkošana, bloku un pārējie izvades keši jāizslēdz veikala priekšpusē un administrācijā lai veiktu tulkošanu lapā."
"JavaScript Settings","JavaScript iestatījumi"
"Merge JavaScript Files","Apvienot JavaScript failus"
"Enable JavaScript Bundling","Ieslēgt JavaScript apvienošanu"
"Minify JavaScript Files","Minificēt JavaScript failus"
"CSS Settings","CSS iestatījumi"
"Merge CSS Files","Apvienot CSS failus"
"Minify CSS Files","Minimizēt CSS failus"
"Image Processing Settings","Attēlu apstrādes iestatījumi"
"Image Adapter","Attēlu adapteris"
"Static Files Settings","Statisko failu iestatījumi"
"Sign Static Files","Parakstīt statiskos failus"
"Country Options","Valsts opcijas"
"Allow Countries","Atļaut valstis"
"Default Country","Noklusētā valsts"
"European Union Countries","Eiropas Savienības valstis"
"Top destinations","Populārākie galamērķi"
"Locale Options","Lokalizācijas opcijas"
Timezone,"Laika zona"
Locale,Lokalizācija
"First Day of Week","Nedēļas pirmā diena"
"Weekend Days",Brīvdienas
"Store Name","Veikala nosaukums"
"Store Phone Number","Veikala telefons"
"Store Hours of Operation","Saglabāt darba laikus"
Country,Valsts
Region/State,Reģions/štats
"ZIP/Postal Code","Pasta indekss"
City,Pilsēta
"Street Address",Adrese
"Street Address Line 2","Adrese 2"
"VAT Number","PVN numurs"
"Single-Store Mode","Viena veikala režīms"
"Enable Single-Store Mode","Ieslēgt viena veikala režīmu"
"This setting will not be taken into account if system has more than one store view.","Šis iestatījums tiks ignorēts, ja veikalam ir vairāk kā viens veikala skats."
"Mail Sending Settings","E-pasta sūtīšanas iestatījumi"
"Disable Email Communications","Izslēgt e-pasta komunikāciju"
Host,Hosts
"Port (25)","Ports (25)"
"Set Return-Path","Iestatīt atbildes ceļu"
"Return-Path Email","Atbildes e-pasts"
"Enable Frontend Resize","Ieslēgt lapas priekšas izmēra mainīšanu"
Admin,Administrators
"Admin User Emails","Administrācijas lietotāja e-pasts"
"Forgot Password Email Template","Aizmirstas paroles e-pasta šablons"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-pasta šablons izvēlēts balstoties uz iepriekšējās tēmas, ja ir izvēlēta ""noklusētā"" opcija."
"Forgot and Reset Email Sender","Aizmirsta un atjaunota e-pasta sūtītājs"
"Startup Page","Sākuma lapa"
"Admin Base URL","Administrācijas pamata URL"
"Use Custom Admin URL","Lietot pielāgotu administrācijas URL"
"Custom Admin URL","Pielāgots administrācijas URL"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Pamata URL jābeidzas ar '/' (slash), piem. http://yourdomain/magento/"
"Use Custom Admin Path","Lietot pielāgotu administrācijas ceļš"
"Custom Admin Path","Pielāgots administrācijas ceļš"
"You will have to sign in after you save your custom admin path.","Jums būs jāpieslēdzas no jauna kad tiks saglabāts jauns pielāgots administrācijas ceļš."
Security,Drošība
"Recovery Link Expiration Period (hours)","Atjaunošanas saites dzīves ilgums (dienas)"
"Please enter a number 1 or greater in this field.","Ievadiet ciparu 1 vai lielāku šajā laukā."
"Add Secret Key to URLs","Pievienot slepeno atslēgu URL saitēm"
"Login is Case Sensitive","Pieslēgšanās ir reģistrjūtīga"
"Admin Session Lifetime (seconds)","Administratora sesija dzīves ilgums (sekundes)"
"Please enter at least 60 and at most 31536000 (one year).","Ievadiet vērtību no 60 līdz 31536000 (viens gads)."
"Enable Charts","Ieslēgt grafikus"
"Url Options","URL opcijas"
"Add Store Code to Urls","Pievienot URL veikala kodu"
"Auto-redirect to Base URL","Automātiska pārvirzīšana uz pamata URL"
"Search Engine Optimization","Meklēšana dzinēja optimizācija"
"Use Web Server Rewrites","Lietot web servera Rewrites"
"Base URLs","Pamata URLi"
"Base URL","Pamata URL"
"Specify URL or {{base_url}} placeholder.","Norādiet URL vai {{base_url}} vietturi."
"Base Link URL","Pamata saites URL"
"Base URL for Static View Files","Pamata URL statisko skatu failiem"
"May be empty or start with {{unsecure_base_url}} placeholder.","Var būt tukšs vai sākties ar {{unsecure_base_url}} vietturi."
"Base URL for User Media Files","Pamata saites mēdiju failiem"
"Base URLs (Secure)","Pamata URLi (Drošie)"
"Secure Base URL","Drošā pamata URL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Norādiet URL vai {{base_url}}, vai {{unsecure_base_url}} vietturi."
"Secure Base Link URL","Drošās pamata saites URL"
"Secure Base URL for Static View Files","Drošā pamata URL statisko skatu failiem"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Var būt tukšs vai sākties ar {{secure_base_url}}, vai {{unsecure_base_url}} vietturi."
"Secure Base URL for User Media Files","Drošā pamata URL lietotāja mediju failiem"
"Use Secure URLs on Storefront","Lietot drošās URL veikala priekšpusē"
"Use Secure URLs in Admin","Lietot drošās URL veikala administrācijā"
"Enable HTTP Strict Transport Security (HSTS)","Ieslēgt HTTP Strict Transport Security (HSTS)"
"Upgrade Insecure Requests","Atjaunot nedrošus pirprasījumus"
"Default Pages","Noklusētās lapas"
"Default Web URL","Noklusētā lapas URL"
"Default No-route URL","Noklusētā No-route URL"
"Session Validation Settings","Sesijas validācijas iestatījumi"
"Validate REMOTE_ADDR","Validēt REMOTE_ADDR"
"Validate HTTP_VIA","Validēt HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validēt HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Validēt HTTP_USER_AGENT"
"Cache Type","Keša veids"
Description,Apraksts
Tags,Tagi
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Kļūda</h1><p>Lapa nav atrasta.</p>"
